a,b,c
1.1666666666666665,4,4.166666666666666
2.666666666666667,5,5.666666666666667
4.5,6,7.5
6.666666666666666,7,9.666666666666666
9.166666666666666,8,12.166666666666666
12.0,9,15.0
15.166666666666668,10,18.166666666666668
18.666666666666668,11,21.666666666666668
22.5,12,25.5
26.666666666666668,13,29.666666666666668
31.166666666666664,14,34.166666666666664
36.0,15,39.0
41.166666666666664,16,44.166666666666664
46.666666666666664,17,49.666666666666664
52.5,18,55.5
58.666666666666664,19,61.666666666666664
65.16666666666667,20,68.16666666666667